Code,Description
0005, Christmas Tree Farm & Drivers Texas
0005, Farm National
0005, Farm—Christmas Tree Farms & Drivers Oregon
0005, Farm—Holly Growing Harvesting Packing and Storing & Drivers Oregon
0005, Farm—Nursery Employees & Drivers Florida
0005, Farm—Nursery Employees & Drivers Missouri
0005, Farm—Nursery Employees & Drivers Montana
0005, Farm—Nursery Stock & Drivers Oregon
0005, Farm—Sod & Drivers Missouri
0005, Farm—Tree or Shrub & Drivers Alaska
0005, Farm—Tree or Shrub & Drivers Idaho
0005, Farm—Tree or Shrub & Drivers Montana
0005, Farm—Tree or Shrub—Tree Farms—Drivers Oregon
0005, Forestry Personnel—Planting and Supervision of Timber Forest & Drivers Texas
0005, Grass Nursery & Drivers Texas
0005, Greenhouse—Nursery Employees & Drivers Oregon
0005, Pre-Commercial Thinning of Trees & Drivers Maine
0005, Timber Personnel for Tree Farming Program & Drivers Texas
0005, Tree Farms & Drivers Texas
0006, Artificial Insemination of Cattle—All Other Employees Arizona
0006, Artificial Insemination of Cattle—All Other Employees & Drivers Montana
0006, Farm or Ranch—All Employees & Drivers Montana
0008, Farm National
0008, Farm Nebraska
0008, Farm—Dry Onion—Vegetable Farm & Drivers Oregon
0008, Farm—Field Crops—Harvesting by Hand Oregon
0008, Farm—Gardening—Market or Truck & Drivers Oregon
0008, Farm—Garlic & Drivers Oregon
0008, Farm—Hoeing by Hand & Drivers Oregon
0008, Farm—Potato & Drivers Florida
0008, Farm—Vegetable Farm & Drivers Oregon
0008, Farm—Vineyard—All Operations & Drivers Oregon
0008, Greenhouse—Vegetable & Drivers Oregon
0008, Harvesting by Contract Using Hand Labor Exclusively & Drivers Texas
0008, Rogueing Crew for Field Crops & Drivers Texas
0016, Coffee Grower & Drivers Hawaii
0016, Farm—Fruit Growing Orchard & Drivers Oregon
0016, Farm—Orchard & Drivers Oregon
0016, Farm—Orchard or Grove & Drivers National
0016, Farm—Packing—Orchard & Drivers Oregon
0016, Fruit Picking by Contractors & Drivers Florida
0016, Macadamia Nut Grower & Drivers Hawaii
0016, Pecan Harvesting & Drivers Texas
0016, Turpentine Farm & Drivers. National
0019, Farm—Fish Hatchery or Pond & Drivers Hawaii
0019, Fish Hatchery or Pond & Drivers Hawaii
0030, Sugarcane Plantation & Drivers Florida
0030, Sugarcane Plantation & Drivers Louisiana
0034, Farm National
0034, Farm—Apiary & Drivers Oregon
