key,value
0005,6.71
0006,6.71
0008,5.11
0016,11.13
0019,11.13
0030,11.13
0034,6.61
0035,5.3
0036,7.59
0037,7.48
0042,9.79
0050,10.53
0052,10.53
0078,10.53
0079,5.73
0083,7.89
0106,26.28
0113,8.81
0117,8.81
0124,8.81
0153,8.81
0169,8.81
0170,5.19
0173,5.19
0251,8.13
0400,8.13
0401,15.92
0908,247
0913,779
0914,779
0917,7.97
0918,7.97
0923,7.97
1005,14.54
1016,14.54
1164,8.19
1165,6.57
1169,6.57
1218,6.57
1219,6.57
1320,5
1321,5
1322,14.92
1429,14.92
1430,8.65
1438,8.95
1452,5.35
1463,15.27
1472,5.57
1473,5.57
1474,5.57
1604,5.57
1605,5.57
1624,7.45
1642,5.08
1654,18.4
1655,18.4
1699,5.6
1701,6.58
1710,10.67
1741,10.67
1745,10.67
1747,4.81
1748,8.21
1751,8.21
1803,12.13
1811,12.13
1852,12.13
1853,12.13
1860,12.13
1924,6.14
1925,7.83
2002,5.82
2003,5.84
2004,5.84
2014,9.17
2016,5.62
2021,5.84
2032,5.84
2039,5.46
2040,5.46
2041,5.57
2065,5.13
2068,5.13
2070,9.49
2081,6.85
2089,5.65
2095,7.34
2101,7.34
2104,7.34
2105,7.26
2110,4.56
2111,5.27
2112,7.26
2113,7.26
2114,5.65
2118,5.65
2119,5.65
2121,4.07
2122,4.07
2130,4.89
2131,4.67
2143,5.68
2157,7.04
2172,4.23
2174,6.14
2211,12.22
2220,5.24
2260,5.24
2286,5.24
2288,7.07
2300,7.07
2302,4.43
2305,5.22
2361,4.48
2362,5.27
2380,4.67
2386,4.67
2388,4.29
2402,6.39
2413,6.09
2416,5
2417,4.13
2501,5.02
2503,3.69
2532,3.69
2534,3.69
2560,3.69
2570,7.53
2576,7.53
2578,7.53
2581,7.53
2583,7.53
2585,6.58
2586,6.17
2587,5.22
2589,5.13
2592,5.13
2600,7.8
2623,10.83
2651,4.45
2660,5.3
2670,5.3
2683,5.3
2688,5.43
2697,5.43
2701,5.43
2702,34.51
2703,34.51
2705,96.26
2709,14.51
2710,13.99
2714,7.04
2719,7.04
2721,7.04
2722,7.04
2725,7.04
2727,17.07
2731,7.94
2735,7.31
2741,7.31
2747,7.31
2759,9.66
2790,4.37
2791,4.37
2797,9.14
2799,11.24
2802,9.17
2804,9.17
2835,5.16
2836,5.68
2841,7.67
2881,6.33
2883,6.93
2913,6.93
2915,6.61
2916,7.18
2923,4.62
2942,4.62
2960,8.19
3004,3.93
3018,6.2
3022,8.02
3027,4.83
3028,5.82
3030,9.71
3040,8.73
3041,7.01
3042,7.15
3064,7.07
3066,7.07
3076,6.33
3081,7.59
3082,7.72
3085,8.49
3110,7.78
3111,5.68
3113,4.51
3114,5.98
3117,5.98
3118,4.64
3119,3.06
3120,3.06
3122,5
3126,4.15
3131,4.34
3132,5.76
3145,4.75
3146,5
3168,5
3169,6.14
