key,value
0005,3.71
0006,3.71
0008,2.11
0016,8.13
0019,8.13
0030,8.13
0034,3.61
0035,2.3
0036,4.59
0037,4.48
0042,6.79
0050,7.53
0052,7.53
0078,7.53
0079,2.73
0083,4.89
0106,23.28
0113,5.81
0117,5.81
0124,5.81
0153,5.81
0169,5.81
0170,2.19
0173,2.19
0251,5.13
0400,5.13
0401,12.92
0908,244
0913,776
0914,776
0917,4.97
0918,4.97
0923,4.97
1005,11.54
1016,11.54
1164,5.19
1165,3.57
1169,3.57
1218,3.57
1219,3.57
1320,2
1321,2
1322,11.92
1429,11.92
1430,5.65
1438,5.95
1452,2.35
1463,12.27
1472,2.57
1473,2.57
1474,2.57
1604,2.57
1605,2.57
1624,4.45
1642,2.08
1654,15.4
1655,15.4
1699,2.6
1701,3.58
1710,7.67
1741,7.67
1745,7.67
1747,1.81
1748,5.21
1751,5.21
1803,9.13
1811,9.13
1852,9.13
1853,9.13
1860,9.13
1924,3.14
1925,4.83
2002,2.82
2003,2.84
2004,2.84
2014,6.17
2016,2.62
2021,2.84
2032,2.84
2039,2.46
2040,2.46
2041,2.57
2065,2.13
2068,2.13
2070,6.49
2081,3.85
2089,2.65
2095,4.34
2101,4.34
2104,4.34
2105,4.26
2110,1.56
2111,2.27
2112,4.26
2113,4.26
2114,2.65
2118,2.65
2119,2.65
2121,1.07
2122,1.07
2130,1.89
2131,1.67
2143,2.68
2157,4.04
2172,1.23
2174,3.14
2211,9.22
2220,2.24
2260,2.24
2286,2.24
2288,4.07
2300,4.07
2302,1.43
2305,2.22
2361,1.48
2362,2.27
2380,1.67
2386,1.67
2388,1.29
2402,3.39
2413,3.09
2416,2
2417,1.13
2501,2.02
2503,0.69
2532,0.69
2534,0.69
2560,0.69
2570,4.53
2576,4.53
2578,4.53
2581,4.53
2583,4.53
2585,3.58
2586,3.17
2587,2.22
2589,2.13
2592,2.13
2600,4.8
2623,7.83
2651,1.45
2660,2.3
2670,2.3
2683,2.3
2688,2.43
2697,2.43
2701,2.43
2702,31.51
2703,31.51
2705,93.26
2709,11.51
2710,10.99
2714,4.04
2719,4.04
2721,4.04
2722,4.04
2725,4.04
2727,14.07
2731,4.94
2735,4.31
2741,4.31
2747,4.31
2759,6.66
2790,1.37
2791,1.37
2797,6.14
2799,8.24
2802,6.17
2804,6.17
2835,2.16
2836,2.68
2841,4.67
2881,3.33
2883,3.93
2913,3.93
2915,3.61
2916,4.18
2923,1.62
2942,1.62
2960,5.19
3004,0.93
3018,3.2
3022,5.02
3027,1.83
3028,2.82
3030,6.71
3040,5.73
3041,4.01
3042,4.15
3064,4.07
3066,4.07
3076,3.33
3081,4.59
3082,4.72
3085,5.49
3110,4.78
3111,2.68
3113,1.51
3114,2.98
3117,2.98
3118,1.64
3119,0.06
3120,0.06
3122,2
3126,1.15
3131,1.34
3132,2.76
3145,1.75
3146,2
3168,2
3169,3.14
3175,3.14
3179,1.23
3180,1.64
3188,1.4
3220,2
3223,2
3224,3.31
3227,3.01
3240,3.01
3241,3.61
3255,2.3
3257,2.98
3270,2.65
3300,4.18
3303,2.11
3307,3.39
3315,3.74
3316,3.74
3331,3.74
3334,3.47
3336,2.3
3365,6.79
3372,3.36
3373,4.04
3383,1.04
3385,0.23
3400,3.33
3507,2.05
3515,1.89
3516,1.89
3548,0.64
3559,2.22
3561,2.22
3571,2.22
3574,0.28
3581,0.8
3582,0.8
3612,1.34
3620,4.2
3629,1.07
3632,2.46
3634,1.07
3635,1.67
3638,1.45
3639,1.45
3642,0.74
3643,1.32
3647,2.27
3648,0.96
3681,0.09
3685,0.42
3719,0.64
3724,4.2
3726,5.98
3803,2.02
3805,2.02
3807,2.02
3808,5.73
3821,7.09
3822,3.5
3823,3.5
3824,4.59
3826,0.09
3827,1.48
3830,0.8
3851,2
3865,2.13
3881,3.82
4000,5.89
4018,5.89
4021,5.35
4024,4.25
4034,7.56
4036,2.49
4038,2.62
4045,2.62
4053,2.62
4061,2.62
4062,3.01
4101,2.6
4109,0.65
4110,0.25
4111,1.23
4112,1.23
4113,1.23
4114,3.61
4130,3.52
4131,9
4133,1.64
4149,0.09
4150,0.09
4206,2.41
4207,2.22
4239,2.13
4240,3.69
4243,1.56
4244,2.05
4250,1.37
4251,2.49
4263,2.49
4273,2.79
4279,2.27
4282,2.27
4283,1.23
4299,1.37
4301,1.37
4304,5.1
4307,1.43
4311,1.43
4312,1.43
4351,1.26
4352,1.13
4360,1.13
4361,0.34
4362,0.34
4410,3.2
4417,3.2
4420,6.22
4431,1.02
4432,0.28
4439,0.28
4452,2.11
4459,2.65
4470,1.94
4484,2.35
4493,2.35
4511,0.71
4519,0.71
4557,2.02
4558,1.51
4565,1.51
4568,1.56
4581,0.42
4583,5.76
4585,5.76
4586,5.76
4597,5.76
4611,0.12
4635,3.69
4653,1.62
4665,8.13
4670,8.13
4683,3.63
4686,1.56
4692,0.01
4693,0.25
4703,1.07
4710,1.07
4712,1.07
4716,1.07
4717,1.81
4720,1.37
4730,1.37
4740,0.83
4741,2.49
4743,2.49
4750,2.49
4751,1.97
4761,1.97
4766,1.97
4770,1.97
4771,2.35
4773,2.35
4775,2.35
4777,3.14
4779,3.14
4805,3.14
4807,3.14
4811,3.14
4814,3.14
4815,3.14
4819,3.14
4823,3.14
4825,0.2
4828,1.64
4829,0.88
4902,2.11
4923,0.25
4940,0.25
5020,8.13
5022,9.98
5037,18.43
5040,13.03
5041,13.03
5057,8.37
5059,32.16
5067,32.16
5069,32.16
5070,32.16
5102,8.84
5146,5.89
5160,3.06
5183,4.2
5188,4.12
5190,3.96
5191,0.31
5192,3.2
5200,3.2
5203,3.2
5213,8.86
5215,7.58
5220,7.58
5221,5.46
5222,10.36
5223,8.35
5348,5.73
5402,7.91
5403,8.16
5437,7.64
5443,5.65
5445,12.38
5462,8.48
5472,10.25
5473,14.42
5474,9.9
5478,4.23
5479,8.89
5480,9
5491,2.46
5505,2.46
5506,8.89
5507,5
5508,5
5509,5
5511,5
5515,5
5516,5
5535,9.95
5536,9.95
5537,6.09
5538,6.09
5539,6.09
5551,24.86
5604,24.86
5606,0.55
5610,7.12
5611,7.12
5613,7.12
5645,25.38
5650,25.38
5651,25.38
5701,25.38
5703,22.49
5951,0.55
6003,9.3
6004,9.3
6005,9.6
6006,9.6
6017,9.6
6018,3.36
6045,6.52
6202,6.52
6203,6.52
6204,10.53
6205,10.53
6206,3.63
6213,1.32
6214,1.78
6216,7.77
6217,6.44
6219,6.44
6229,8.05
6233,2.65
6235,7.15
6236,9.6
6237,1.4
6238,1.4
6251,5.68
6252,4.66
6257,4.66
6260,4.66
6306,6.77
6319,5.19
6325,4.37
6365,4.37
6400,6.82
6503,2.27
6504,3.33
6513,3.33
6702,5.98
6703,10.06
6704,6.77
6801,5.65
6811,6.88
6823,6.88
6824,15.32
6826,7.18
6828,7.18
6829,7.18
6834,3.8
6836,5.35
6838,5.35
6843,19.82
6845,13.74
6869,13.74
6872,19.11
6873,19.11
6874,36.61
6876,36.61
6882,4.34
6884,4.97
7016,6.3
7024,7.12
7038,6.47
7046,8.95
7047,10.58
7050,10.83
7090,7.28
7097,7.28
7098,10.04
7099,14.75
7133,6.03
7134,6.03
7135,6.03
7151,7.53
7152,12.54
7153,8.48
7201,8.48
7204,8.48
7205,8.48
7219,12.57
7223,12.57
7228,12.57
7229,12.57
7230,14.75
7231,12.92
7250,12.92
7309,19.3
7313,8.02
7317,17.12
7327,38.02
7333,3.88
7335,4.42
7337,6.74
7350,23.31
7360,5.38
7370,5.92
7373,5.92
7380,7.53
7382,5.87
7383,5.87
7390,5.21
7394,4.45
7395,5.05
7398,7.64
7402,0.16
7403,6.98
7405,2.19
7408,2.19
7414,2.19
7418,2.19
7420,11.54
7421,0.2
7422,1.32
7423,1.32
7424,1.32
7425,2.22
7431,0.93
7500,0.93
7502,2.19
7515,0.61
7520,3.39
7538,7.37
7539,1.73
7540,5.51
7570,5.51
7580,3.63
7590,4.26
7600,7.26
7601,7.26
