key,value
0005,4.71
0006,4.71
0008,3.11
0016,9.13
0019,9.13
0030,9.13
0034,4.61
0035,3.3
0036,5.59
0037,5.48
0042,7.79
0050,8.53
0052,8.53
0078,8.53
0079,3.73
0083,5.89
0106,24.28
0113,6.81
0117,6.81
0124,6.81
0153,6.81
0169,6.81
0170,3.19
0173,3.19
0251,6.13
0400,6.13
0401,13.92
0908,245
0913,777
0914,777
0917,5.97
0918,5.97
0923,5.97
1005,12.54
1016,12.54
1164,6.19
1165,4.57
1169,4.57
1218,4.57
1219,4.57
1320,3
1321,3
1322,12.92
1429,12.92
1430,6.65
1438,6.95
1452,3.35
1463,13.27
1472,3.57
1473,3.57
1474,3.57
1604,3.57
1605,3.57
1624,5.45
1642,3.08
1654,16.4
1655,16.4
1699,3.6
1701,4.58
1710,8.67
1741,8.67
1745,8.67
1747,2.81
1748,6.21
1751,6.21
1803,10.13
1811,10.13
1852,10.13
1853,10.13
1860,10.13
1924,4.14
1925,5.83
2002,3.82
2003,3.84
2004,3.84
2014,7.17
2016,3.62
2021,3.84
2032,3.84
2039,3.46
2040,3.46
2041,3.57
2065,3.13
2068,3.13
2070,7.49
2081,4.85
2089,3.65
2095,5.34
2101,5.34
2104,5.34
2105,5.26
2110,2.56
2111,3.27
2112,5.26
2113,5.26
2114,3.65
2118,3.65
2119,3.65
2121,2.07
2122,2.07
2130,2.89
2131,2.67
2143,3.68
2157,5.04
2172,2.23
2174,4.14
2211,10.22
2220,3.24
2260,3.24
2286,3.24
2288,5.07
2300,5.07
2302,2.43
2305,3.22
2361,2.48
2362,3.27
2380,2.67
2386,2.67
2388,2.29
2402,4.39
2413,4.09
2416,3
2417,2.13
2501,3.02
2503,1.69
2532,1.69
2534,1.69
2560,1.69
2570,5.53
2576,5.53
2578,5.53
2581,5.53
2583,5.53
2585,4.58
2586,4.17
2587,3.22
2589,3.13
2592,3.13
2600,5.8
2623,8.83
2651,2.45
2660,3.3
2670,3.3
2683,3.3
2688,3.43
2697,3.43
2701,3.43
2702,32.51
2703,32.51
2705,94.26
2709,12.51
2710,11.99
2714,5.04
2719,5.04
2721,5.04
2722,5.04
2725,5.04
2727,15.07
2731,5.94
2735,5.31
2741,5.31
2747,5.31
2759,7.66
2790,2.37
2791,2.37
2797,7.14
2799,9.24
2802,7.17
2804,7.17
2835,3.16
2836,3.68
2841,5.67
2881,4.33
2883,4.93
2913,4.93
2915,4.61
2916,5.18
2923,2.62
2942,2.62
2960,6.19
3004,1.93
3018,4.2
3022,6.02
3027,2.83
3028,3.82
3030,7.71
3040,6.73
3041,5.01
3042,5.15
3064,5.07
3066,5.07
3076,4.33
3081,5.59
3082,5.72
3085,6.49
3110,5.78
3111,3.68
3113,2.51
3114,3.98
3117,3.98
3118,2.64
3119,1.06
3120,1.06
3122,3
3126,2.15
3131,2.34
3132,3.76
3145,2.75
3146,3
3168,3
3169,4.14
3175,4.14
3179,2.23
3180,2.64
3188,2.4
3220,3
3223,3
3224,4.31
3227,4.01
3240,4.01
3241,4.61
3255,3.3
3257,3.98
3270,3.65
3300,5.18
3303,3.11
3307,4.39
3315,4.74
3316,4.74
3331,4.74
3334,4.47
3336,3.3
3365,7.79
3372,4.36
3373,5.04
3383,2.04
3385,1.23
3400,4.33
3507,3.05
3515,2.89
3516,2.89
3548,1.64
3559,3.22
3561,3.22
3571,3.22
3574,1.28
3581,1.8
3582,1.8
3612,2.34
3620,5.2
3629,2.07
3632,3.46
3634,2.07
3635,2.67
3638,2.45
3639,2.45
3642,1.74
3643,2.32
3647,3.27
3648,1.96
3681,1.09
3685,1.42
3719,1.64
3724,5.2
3726,6.98
3803,3.02
3805,3.02
3807,3.02
3808,6.73
3821,8.09
3822,4.5
3823,4.5
3824,5.59
3826,1.09
3827,2.48
3830,1.8
3851,3
3865,3.13
3881,4.82
4000,6.89
4018,6.89
4021,6.35
4024,5.25
4034,8.56
4036,3.49
4038,3.62
4045,3.62
4053,3.62
4061,3.62
4062,4.01
4101,3.6
4109,0.65
4110,1.25
4111,2.23
4112,2.23
4113,2.23
4114,4.61
4130,4.52
4131,10
4133,2.64
4149,1.09
4150,1.09
4206,3.41
4207,3.22
4239,3.13
4240,4.69
4243,2.56
4244,3.05
4250,2.37
4251,3.49
4263,3.49
4273,3.79
4279,3.27
4282,3.27
4283,2.23
4299,2.37
4301,2.37
4304,6.1
4307,2.43
4311,2.43
4312,2.43
4351,2.26
4352,2.13
4360,2.13
4361,1.34
4362,1.34
4410,4.2
4417,4.2
4420,7.22
4431,2.02
4432,1.28
4439,1.28
4452,3.11
4459,3.65
4470,2.94
4484,3.35
4493,3.35
4511,0.71
4519,0.71
4557,3.02
4558,2.51
4565,2.51
4568,2.56
4581,1.42
4583,6.76
4585,6.76
4586,6.76
4597,6.76
4611,1.12
4635,4.69
4653,2.62
4665,9.13
4670,9.13
4683,4.63
4686,2.56
4692,1.01
4693,1.25
4703,2.07
4710,2.07
4712,2.07
4716,2.07
4717,2.81
4720,2.37
4730,2.37
4740,1.83
4741,3.49
4743,3.49
4750,3.49
4751,2.97
4761,2.97
4766,2.97
4770,2.97
4771,3.35
4773,3.35
4775,3.35
4777,4.14
4779,4.14
4805,4.14
4807,4.14
4811,4.14
4814,4.14
4815,4.14
4819,4.14
4823,4.14
4825,1.2
4828,2.64
4829,1.88
4902,3.11
4923,1.25
4940,1.25
5020,9.13
5022,10.98
5037,19.43
5040,14.03
5041,14.03
5057,9.37
5059,33.16
5067,33.16
5069,33.16
5070,33.16
5102,9.84
5146,6.89
5160,4.06
5183,5.2
5188,5.12
5190,4.96
5191,1.31
5192,4.2
5200,4.2
5203,4.2
5213,9.86
5215,8.58
5220,8.58
5221,6.46
5222,11.36
5223,9.35
5348,6.73
5402,8.91
5403,9.16
5437,8.64
5443,6.65
5445,13.38
5462,9.48
5472,11.25
5473,15.42
5474,10.9
5478,5.23
5479,9.89
5480,10
5491,3.46
5505,3.46
5506,9.89
5507,6
5508,6
5509,6
5511,6
5515,6
5516,6
5535,10.95
5536,10.95
5537,7.09
5538,7.09
5539,7.09
5551,25.86
5604,25.86
5606,1.55
5610,8.12
5611,8.12
5613,8.12
5645,26.38
5650,26.38
5651,26.38
5701,26.38
5703,23.49
5951,0.55
6003,10.3
6004,10.3
6005,10.6
6006,10.6
6017,10.6
6018,4.36
6045,7.52
6202,7.52
6203,7.52
6204,11.53
6205,11.53
6206,4.63
6213,2.32
6214,2.78
6216,8.77
6217,7.44
6219,7.44
6229,9.05
6233,3.65
6235,8.15
6236,10.6
6237,2.4
6238,2.4
6251,6.68
6252,5.66
6257,5.66
6260,5.66
6306,7.77
6319,6.19
6325,5.37
6365,5.37
6400,7.82
6503,3.27
6504,4.33
6513,4.33
6702,6.98
6703,11.06
6704,7.77
6801,6.65
6811,7.88
6823,7.88
6824,16.32
6826,8.18
6828,8.18
6829,8.18
6834,4.8
6836,6.35
6838,6.35
6843,20.82
6845,14.74
6869,14.74
6872,20.11
6873,20.11
6874,37.61
6876,37.61
6882,5.34
6884,5.97
7016,7.3
7024,8.12
7038,7.47
7046,9.95
7047,11.58
7050,11.83
7090,8.28
7097,8.28
7098,11.04
7099,15.75
7133,7.03
7134,7.03
7135,7.03
7151,8.53
7152,13.54
7153,9.48
7201,9.48
7204,9.48
7205,9.48
7219,13.57
7223,13.57
7228,13.57
7229,13.57
7230,15.75
7231,13.92
7250,13.92
7309,20.3
7313,9.02
7317,18.12
7327,39.02
7333,4.88
7335,5.42
7337,7.74
7350,24.31
7360,6.38
7370,6.92
7373,6.92
7380,8.53
7382,6.87
7383,6.87
7390,6.21
7394,5.45
7395,6.05
7398,8.64
7402,0.16
7403,7.98
7405,3.19
7408,3.19
7414,3.19
7418,3.19
7420,12.54
7421,1.2
7422,2.32
7423,2.32
7424,2.32
7425,3.22
7431,1.93
7500,1.93
7502,3.19
7515,1.61
7520,4.39
7538,8.37
7539,2.73
7540,6.51
7570,6.51
7580,4.63
7590,5.26
7600,8.26
7601,8.26
7602,8.26
7605,3.95
7607,3.95
7610,0.9
7698,0.9
7699,0.9
7704,0.9
7705,7.98
7710,5.89
7711,5.89
7717,5.89
7719,5.89
7720,4.39
7721,4.39
7722,4.39
7723,3.32
7724,3.32
7725,3.32
7726,3.32
7729,3.32
7731,3.32
7855,5.75
8001,3.95
8002,3.02
8003,3.02
8006,3.62
8008,1.99
8010,2.56
